entity e1,entity e2,pair type,Full Sentence
neuroleptics,cerulein,false,"After prolonged administration of neuroleptics the displacing effect of cerulein, an analog of cholecystokinin octapeptide, was replaced by the stimulant action on 3H-spiroperidol binding."
neuroleptics,3H-spiroperidol,false,"After prolonged administration of neuroleptics the displacing effect of cerulein, an analog of cholecystokinin octapeptide, was replaced by the stimulant action on 3H-spiroperidol binding."
cerulein,3H-spiroperidol,false,"After prolonged administration of neuroleptics the displacing effect of cerulein, an analog of cholecystokinin octapeptide, was replaced by the stimulant action on 3H-spiroperidol binding."
3H-spiroperidol,apomorphine,false,It is assumed that increased interaction between 3H-spiroperidol and high affinity binding sites for apomorphine on dopamine2- and serotonin2-receptors underlies the antipsychotic action of neuroleptics after their prolonged administration.
3H-spiroperidol,neuroleptics,false,It is assumed that increased interaction between 3H-spiroperidol and high affinity binding sites for apomorphine on dopamine2- and serotonin2-receptors underlies the antipsychotic action of neuroleptics after their prolonged administration.
apomorphine,neuroleptics,false,It is assumed that increased interaction between 3H-spiroperidol and high affinity binding sites for apomorphine on dopamine2- and serotonin2-receptors underlies the antipsychotic action of neuroleptics after their prolonged administration.
lymecycline,iron,mechanism,"The absorption of lymecycline may be affected by the simultaneous administration of indigestion remedies, iron or zinc supplements."
lymecycline,zinc,mechanism,"The absorption of lymecycline may be affected by the simultaneous administration of indigestion remedies, iron or zinc supplements."
iron,zinc,false,"The absorption of lymecycline may be affected by the simultaneous administration of indigestion remedies, iron or zinc supplements."
contraceptives,lymecycline,effect,Oral contraceptives may be less effective while you are taking lymecycline.
lamivudine,TMP,false,There is no information regarding the effect on lamivudine pharmacokinetics of higher doses of TMP/SMX such as those used to treat Pneumocystis carinii pneumonia.
lamivudine,SMX,false,There is no information regarding the effect on lamivudine pharmacokinetics of higher doses of TMP/SMX such as those used to treat Pneumocystis carinii pneumonia.
TMP,SMX,false,There is no information regarding the effect on lamivudine pharmacokinetics of higher doses of TMP/SMX such as those used to treat Pneumocystis carinii pneumonia.
Lamivudine,zalcitabine,effect,Lamivudine and zalcitabine may inhibit the intracellular phosphorylation of one another.
lamivudine,zalcitabine,advise,"Therefore, use of lamivudine in combination with zalcitabine is not recommended"
thiazide diuretics,digoxin,false,Concomitantly given thiazide diuretics did not interfere with the absorption of a tablet of digoxin.
amyl nitrite,alcohol,effect,Taking amyl nitrite after drinking alcohol may worsen side effects and may cause severe hypotension and cardiovascular collapse.
sandimmune,immunodepressant,false,"[The effect of sandimmune on the activity of mixed-function mono-oxidases in the liver microsomes]
The effects of the immunodepressant--the drug sandimmune--on hepatic microsomal monooxygenase activities were studied."
sandimmune,sandimmune,false,"[The effect of sandimmune on the activity of mixed-function mono-oxidases in the liver microsomes]
The effects of the immunodepressant--the drug sandimmune--on hepatic microsomal monooxygenase activities were studied."
immunodepressant,sandimmune,false,"[The effect of sandimmune on the activity of mixed-function mono-oxidases in the liver microsomes]
The effects of the immunodepressant--the drug sandimmune--on hepatic microsomal monooxygenase activities were studied."
vitamin D,Vitamin D2,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D,Vitamin D3,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D,Calcitriol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D,Calcidiol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,Vitamin D3,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,Calcitriol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,Calcidiol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D3,Calcitriol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D3,Calcidiol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D3,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D3,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D3,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcitriol,Calcidiol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcitriol,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcitriol,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcitriol,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcidiol,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcidiol,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcidiol,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Cholestyramine,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Cholestyramine,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Cholestyramine,fat soluble vitamins,mechanism,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Phenytoin,Phenobarbital,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenytoin,phenytoin,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenytoin,phenobarbital,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenytoin,vitamin D,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenytoin,calcitriol,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenobarbital,phenytoin,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenobarbital,phenobarbital,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenobarbital,vitamin D,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenobarbital,calcitriol,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
phenytoin,phenobarbital,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
phenytoin,vitamin D,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
phenytoin,calcitriol,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
phenobarbital,vitamin D,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
phenobarbital,calcitriol,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
vitamin D,calcitriol,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
calcitriol,Rocaltrol,false,"Since blood level of calcitriol/ergocalcitriol will be reduced, higher doses of Rocaltrol may be necessary if these drugs are administered simultaneously."
Thiazides,Thiazides,false,Thiazides: Thiazides are known to induce hypercalcemia by the reduction of calcium excretion in urine.
thiazides,vitamin D,effect,Some reports have shown that the concomitant administration of thiazides with vitamin D causes hypercalcemia.
Digitalis,Vitamin D,false,"Digitalis: Vitamin D dosage must be determined with care in patients undergoing treatment with digitalis, as hypercalcemia in such patients may precipitate cardiac arrhythmias."
Digitalis,digitalis,false,"Digitalis: Vitamin D dosage must be determined with care in patients undergoing treatment with digitalis, as hypercalcemia in such patients may precipitate cardiac arrhythmias."
Vitamin D,digitalis,advise,"Digitalis: Vitamin D dosage must be determined with care in patients undergoing treatment with digitalis, as hypercalcemia in such patients may precipitate cardiac arrhythmias."
Ketoconazole,Ketoconazole,false,Ketoconazole: Ketoconazole may inhibit both synthetic and catabolic enzymes of vitamin D.
Ketoconazole,vitamin D,false,Ketoconazole: Ketoconazole may inhibit both synthetic and catabolic enzymes of vitamin D.
Ketoconazole,vitamin D,mechanism,Ketoconazole: Ketoconazole may inhibit both synthetic and catabolic enzymes of vitamin D.
ketoconazole,vitamin D,false,"However, in vivo drug interaction studies of ketoconazole with vitamin D have not been investigated."
Corticosteroids,vitamin D,false,"Corticosteroids: A relationship of functional antagonism exists between vitamin D analogues, which promote calcium absorption, and corticosteroids, which inhibit calcium absorption."
Corticosteroids,corticosteroids,false,"Corticosteroids: A relationship of functional antagonism exists between vitamin D analogues, which promote calcium absorption, and corticosteroids, which inhibit calcium absorption."
vitamin D,corticosteroids,effect,"Corticosteroids: A relationship of functional antagonism exists between vitamin D analogues, which promote calcium absorption, and corticosteroids, which inhibit calcium absorption."
Vitamin D,vitamin D,false,Vitamin D: The coadministration of any of the vitamin D analogues should be avoided as this could create possible additive effects and hypercalcemia.
Calcium,calcium,false,Calcium Supplements: Uncontrolled intake of additional calcium-containing preparations should be avoided.
Magnesium,Magnesium,false,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
Magnesium,antacids,false,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
Magnesium,vitamin D,false,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
Magnesium,antacids,false,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
Magnesium,vitamin D,effect,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
antacids,vitamin D,effect,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
indomethacin,diflunisal,false,"In normal volunteers receiving indomethacin, the administration of diflunisal decreased the renal clearance and significantly increased the plasma levels of indomethacin."
indomethacin,indomethacin,false,"In normal volunteers receiving indomethacin, the administration of diflunisal decreased the renal clearance and significantly increased the plasma levels of indomethacin."
diflunisal,indomethacin,mechanism,"In normal volunteers receiving indomethacin, the administration of diflunisal decreased the renal clearance and significantly increased the plasma levels of indomethacin."
INDOCIN,diflunisal,effect,"In some patients, combined use of INDOCIN and diflunisal has been associated with fatal gastrointestinal hemorrhage."
diflunisal,INDOCIN,advise,"Therefore, diflunisal and INDOCIN should not be used concomitantly."
aspirin,indomethacin,mechanism,"In a study in normal volunteers, it was found that chronic concurrent administration of 3.6 g of aspirin per day decreases indomethacin blood levels approximately 20%."
INDOCIN,NSAIDs,advise,"The concomitant use of INDOCIN with other NSAIDs is not recommended due to the increased possibility of gastrointestinal toxicity, with little or no increase in efficacy."
INDOCIN,anticoagulants,false,Clinical studies have shown that INDOCIN does not influence the hypoprothrombinemia produced by anticoagulants.
INDOCIN,anticoagulant,advise,"However, when any additional drug, including INDOCIN, is added to the treatment of patients on anticoagulant therapy, the patients should be observed for alterations of the prothrombin time."
anticoagulants,INDOCIN,effect,"In post-marketing experience, bleeding has been reported in patients on concomitant treatment with anticoagulants and INDOCIN."
INDOCIN,anticoagulants,advise,Caution should be exercised when INDOCIN and anticoagulants are administered concomitantly.
INDOCIN,probenecid,mechanism,"When INDOCIN is given to patients receiving probenecid, the plasma levels of indomethacin are likely to be increased."
INDOCIN,indomethacin,false,"When INDOCIN is given to patients receiving probenecid, the plasma levels of indomethacin are likely to be increased."
probenecid,indomethacin,false,"When INDOCIN is given to patients receiving probenecid, the plasma levels of indomethacin are likely to be increased."
INDOCIN,methotrexate,advise,Caution should be used if INDOCIN is administered simultaneously with methotrexate.
INDOCIN,methotrexate,mechanism,INDOCIN has been reported to decrease the tubular secretion of methotrexate and to potentiate its toxicity.
non-steroidal anti-inflammatory drugs,cyclosporine,effect,"Administration of non-steroidal anti-inflammatory drugs concomitantly with cyclosporine has been associated with an increase in cyclosporine-induced toxicity, possibly due to decreased synthesis of renal prostacyclin."
non-steroidal anti-inflammatory drugs,cyclosporine,false,"Administration of non-steroidal anti-inflammatory drugs concomitantly with cyclosporine has been associated with an increase in cyclosporine-induced toxicity, possibly due to decreased synthesis of renal prostacyclin."
cyclosporine,cyclosporine,false,"Administration of non-steroidal anti-inflammatory drugs concomitantly with cyclosporine has been associated with an increase in cyclosporine-induced toxicity, possibly due to decreased synthesis of renal prostacyclin."
NSAIDs,cyclosporine,advise,"NSAIDs should be used with caution in patients taking cyclosporine, and renal function should be carefully monitored."
INDOCIN,lithium,mechanism,Capsules INDOCIN 50 mg t.i.d. produced a clinically relevant elevation of plasma lithium and reduction in renal lithium clearance in psychiatric patients and normal subjects with steady state plasma lithium concentrations.
INDOCIN,lithium,false,Capsules INDOCIN 50 mg t.i.d. produced a clinically relevant elevation of plasma lithium and reduction in renal lithium clearance in psychiatric patients and normal subjects with steady state plasma lithium concentrations.
INDOCIN,lithium,false,Capsules INDOCIN 50 mg t.i.d. produced a clinically relevant elevation of plasma lithium and reduction in renal lithium clearance in psychiatric patients and normal subjects with steady state plasma lithium concentrations.
lithium,lithium,false,Capsules INDOCIN 50 mg t.i.d. produced a clinically relevant elevation of plasma lithium and reduction in renal lithium clearance in psychiatric patients and normal subjects with steady state plasma lithium concentrations.
lithium,lithium,false,Capsules INDOCIN 50 mg t.i.d. produced a clinically relevant elevation of plasma lithium and reduction in renal lithium clearance in psychiatric patients and normal subjects with steady state plasma lithium concentrations.
lithium,lithium,false,Capsules INDOCIN 50 mg t.i.d. produced a clinically relevant elevation of plasma lithium and reduction in renal lithium clearance in psychiatric patients and normal subjects with steady state plasma lithium concentrations.
INDOCIN,lithium,advise,"As a consequence, when INDOCIN and lithium are given concomitantly, the patient should be carefully observed for signs of lithium toxicity."
INDOCIN,lithium,false,"As a consequence, when INDOCIN and lithium are given concomitantly, the patient should be carefully observed for signs of lithium toxicity."
lithium,lithium,false,"As a consequence, when INDOCIN and lithium are given concomitantly, the patient should be carefully observed for signs of lithium toxicity."
INDOCIN,digoxin,mechanism,INDOCIN given concomitantly with digoxin has been reported to increase the serum concentration and prolong the half-life of digoxin.
INDOCIN,digoxin,false,INDOCIN given concomitantly with digoxin has been reported to increase the serum concentration and prolong the half-life of digoxin.
digoxin,digoxin,false,INDOCIN given concomitantly with digoxin has been reported to increase the serum concentration and prolong the half-life of digoxin.
INDOCIN,digoxin,advise,"Therefore, when INDOCIN and digoxin are used concomitantly, serum digoxin levels should be closely monitored."
INDOCIN,digoxin,false,"Therefore, when INDOCIN and digoxin are used concomitantly, serum digoxin levels should be closely monitored."
digoxin,digoxin,false,"Therefore, when INDOCIN and digoxin are used concomitantly, serum digoxin levels should be closely monitored."
INDOCIN,loop diuretics,effect,"In some patients, the administration of INDOCIN can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium-sparing, and thiazide diuretics."
INDOCIN,potassium-sparing diuretics,effect,"In some patients, the administration of INDOCIN can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium-sparing, and thiazide diuretics."
INDOCIN,thiazide diuretics,effect,"In some patients, the administration of INDOCIN can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium-sparing, and thiazide diuretics."
loop diuretics,potassium-sparing diuretics,false,"In some patients, the administration of INDOCIN can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium-sparing, and thiazide diuretics."
loop diuretics,thiazide diuretics,false,"In some patients, the administration of INDOCIN can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium-sparing, and thiazide diuretics."
potassium-sparing diuretics,thiazide diuretics,false,"In some patients, the administration of INDOCIN can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium-sparing, and thiazide diuretics."
INDOCIN,INDOCIN,false,"Therefore, when INDOCIN and INDOCIN."
Indomethacin,diuretics,false,"(Indomethacin) diuretics are used concomitantly, the patient should be observed closely to determine if the desired effect of the diuretic is obtained."
Indomethacin,diuretic,false,"(Indomethacin) diuretics are used concomitantly, the patient should be observed closely to determine if the desired effect of the diuretic is obtained."
diuretics,diuretic,false,"(Indomethacin) diuretics are used concomitantly, the patient should be observed closely to determine if the desired effect of the diuretic is obtained."
INDOCIN,furosemide,false,"INDOCIN reduces basal plasma renin activity (PRA), as well as those elevations of PRA induced by furosemide administration, or salt or volume depletion."
triamterene,INDOCIN,effect,It has been reported that the addition of triamterene to a maintenance schedule of INDOCIN resulted in reversible acute renal failure in two of four healthy volunteers.
INDOCIN,triamterene,advise,INDOCIN and triamterene should not be administered together.
INDOCIN,potassium-sparing diuretics,false,INDOCIN and potassium-sparing diuretics each may be associated with increased serum potassium levels.
INDOCIN,potassium-sparing diuretics,effect,The potential effects of INDOCIN and potassium-sparing diuretics on potassium kinetics and renal function should be considered when these agents are administered concurrently.
diuretics,INDOCIN,effect,"Most of the above effects concerning diuretics have been attributed, at least in part, to mechanisms involving inhibition of prostaglandin synthesis by INDOCIN."
beta-adrenoceptor blocking agents,non-steroidal antiinflammatory drugs,effect,Blunting of the antihypertensive effect of beta-adrenoceptor blocking agents by non-steroidal antiinflammatory drugs including INDOCIN has been reported.
beta-adrenoceptor blocking agents,INDOCIN,effect,Blunting of the antihypertensive effect of beta-adrenoceptor blocking agents by non-steroidal antiinflammatory drugs including INDOCIN has been reported.
non-steroidal antiinflammatory drugs,INDOCIN,false,Blunting of the antihypertensive effect of beta-adrenoceptor blocking agents by non-steroidal antiinflammatory drugs including INDOCIN has been reported.
INDOCIN,captopril,effect,INDOCIN can reduce the antihypertensive effects of captopril and losartan.
INDOCIN,losartan,effect,INDOCIN can reduce the antihypertensive effects of captopril and losartan.
captopril,losartan,false,INDOCIN can reduce the antihypertensive effects of captopril and losartan.
NSAIDs,ACE inhibitors,effect,The use of NSAIDs in patients who are receiving ACE inhibitors may potentiate renal disease states.
hydantoin,sulfonamide,false,"Similarly, patients receiving the drug and a hydantoin, sulfonamide or sulfonylurea should be observed for signs of toxicity to these drugs."
hydantoin,sulfonylurea,false,"Similarly, patients receiving the drug and a hydantoin, sulfonamide or sulfonylurea should be observed for signs of toxicity to these drugs."
sulfonamide,sulfonylurea,false,"Similarly, patients receiving the drug and a hydantoin, sulfonamide or sulfonylurea should be observed for signs of toxicity to these drugs."
naproxen,aspirin,advise,"Concomitant administration of naproxen and aspirin is not recommended because naproxen is displaced from its binding sites during the concomitant administration of aspirin, resulting in lower plasma concentrations and peak plasma levels."
naproxen,naproxen,false,"Concomitant administration of naproxen and aspirin is not recommended because naproxen is displaced from its binding sites during the concomitant administration of aspirin, resulting in lower plasma concentrations and peak plasma levels."
naproxen,aspirin,false,"Concomitant administration of naproxen and aspirin is not recommended because naproxen is displaced from its binding sites during the concomitant administration of aspirin, resulting in lower plasma concentrations and peak plasma levels."
aspirin,naproxen,false,"Concomitant administration of naproxen and aspirin is not recommended because naproxen is displaced from its binding sites during the concomitant administration of aspirin, resulting in lower plasma concentrations and peak plasma levels."
aspirin,aspirin,false,"Concomitant administration of naproxen and aspirin is not recommended because naproxen is displaced from its binding sites during the concomitant administration of aspirin, resulting in lower plasma concentrations and peak plasma levels."
naproxen,aspirin,advise,"Concomitant administration of naproxen and aspirin is not recommended because naproxen is displaced from its binding sites during the concomitant administration of aspirin, resulting in lower plasma concentrations and peak plasma levels."
lithium,lithium,false,Inhibition of renal lithium clearance leading to increases in plasma lithium concentrations has also been reported.
Naproxen,NSAIDs,false,Naproxen and other NSAIDs can reduce the antihypertensive effect of propranolol and other beta-blockers.
Naproxen,propranolol,effect,Naproxen and other NSAIDs can reduce the antihypertensive effect of propranolol and other beta-blockers.
Naproxen,beta-blockers,effect,Naproxen and other NSAIDs can reduce the antihypertensive effect of propranolol and other beta-blockers.
NSAIDs,propranolol,effect,Naproxen and other NSAIDs can reduce the antihypertensive effect of propranolol and other beta-blockers.
NSAIDs,beta-blockers,effect,Naproxen and other NSAIDs can reduce the antihypertensive effect of propranolol and other beta-blockers.
propranolol,beta-blockers,false,Naproxen and other NSAIDs can reduce the antihypertensive effect of propranolol and other beta-blockers.
Probenecid,naproxen,mechanism,Probenecid given concurrently increases naproxen anion plasma levels and extends its plasma half-life significantly.
naproxen,methotrexate,advise,Caution should be used if naproxen is administered concomitantly with methotrexate.
Naproxen,naproxen sodium,false,"Naproxen, naproxen sodium and other NSAIDs have been reported to reduce the tubular secretion of methotrexate in an animal model, possibly increasing the toxicity of methotrexate."
Naproxen,NSAIDs,false,"Naproxen, naproxen sodium and other NSAIDs have been reported to reduce the tubular secretion of methotrexate in an animal model, possibly increasing the toxicity of methotrexate."
Naproxen,methotrexate,mechanism,"Naproxen, naproxen sodium and other NSAIDs have been reported to reduce the tubular secretion of methotrexate in an animal model, possibly increasing the toxicity of methotrexate."
Naproxen,methotrexate,false,"Naproxen, naproxen sodium and other NSAIDs have been reported to reduce the tubular secretion of methotrexate in an animal model, possibly increasing the toxicity of methotrexate."
naproxen sodium,NSAIDs,false,"Naproxen, naproxen sodium and other NSAIDs have been reported to reduce the tubular secretion of methotrexate in an animal model, possibly increasing the toxicity of methotrexate."
naproxen sodium,methotrexate,mechanism,"Naproxen, naproxen sodium and other NSAIDs have been reported to reduce the tubular secretion of methotrexate in an animal model, possibly increasing the toxicity of methotrexate."
naproxen sodium,methotrexate,false,"Naproxen, naproxen sodium and other NSAIDs have been reported to reduce the tubular secretion of methotrexate in an animal model, possibly increasing the toxicity of methotrexate."
NSAIDs,methotrexate,mechanism,"Naproxen, naproxen sodium and other NSAIDs have been reported to reduce the tubular secretion of methotrexate in an animal model, possibly increasing the toxicity of methotrexate."
NSAIDs,methotrexate,false,"Naproxen, naproxen sodium and other NSAIDs have been reported to reduce the tubular secretion of methotrexate in an animal model, possibly increasing the toxicity of methotrexate."
methotrexate,methotrexate,false,"Naproxen, naproxen sodium and other NSAIDs have been reported to reduce the tubular secretion of methotrexate in an animal model, possibly increasing the toxicity of methotrexate."
clozapine,phencyclidine,false,Combinations of clozapine and phencyclidine: effects on drug discrimination and behavioral inhibition in rats.
Phencyclidine,PCP,false,Phencyclidine (PCP) produces psychotomimetic effects in humans that resemble schizophrenia symptoms.
atypical antipsychotic,clozapine,false,"In the present study, the atypical antipsychotic clozapine was tested in combination with an active dose of PCP in two-lever drug discrimination and mixed signalled-unsignalled differential-reinforcement-of-low-rates (DRL) procedures."
atypical antipsychotic,PCP,false,"In the present study, the atypical antipsychotic clozapine was tested in combination with an active dose of PCP in two-lever drug discrimination and mixed signalled-unsignalled differential-reinforcement-of-low-rates (DRL) procedures."
